id,question,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10
41,เฟล็กซ์บุ๊ก Detach มีคีย์บอร์ดมาในกล่องไหมครับ,มีคีย์บอร์ดแถมในกล่อง เชื่อมต่อแบบ Magnetic Pogo Pin Dock พร้อมแบตเตอรี่ 20Wh ในตัว,มีคีย์บอร์ด Bluetooth มาให้ พร้อมทัชแพดในตัว ใช้ได้กับ FlexBook Detach โดยเฉพาะ แบตเตอรี่ในตัวใช้งานได้ 20 ชั่วโมง,"มีคีย์บอร์ดแบบ Magnetic Dock มาให้ รวมอยู่ในราคา 32,990 บาท พร้อม Backlit LED",มีคีย์บอร์ดขนาดเล็กมาให้ แต่ไม่ใช่ Full-size เป็น Compact 60% ต้องซื้อคีย์บอร์ด Full-size แยกถ้าต้องการพิมพ์งานจริงจัง,"มีคีย์บอร์ดแถม แต่ต้องลงทะเบียนรับสิทธิ์ก่อนผ่านเว็บฟ้าใหม่ภายใน 30 วันหลังซื้อ ไม่งั้นต้องซื้อแยกราคา 5,990 บาท","มีคีย์บอร์ดมาในกล่องพร้อม Stylus Pen 4,096 ระดับแรงกดและกระเป๋าผ้าสำหรับพกพา","ไม่รวมคีย์บอร์ด ขายแยกต่างหาก หรือเลือกซื้อ FlexBook Detach + Keyboard Bundle (฿36,990)",มีคีย์บอร์ดมาในกล่อง แบบ USB-C plug-in ขนาดกะทัดรัด พร้อมทัชแพดในตัว,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
42,เฮดออน 300 มีระบบตัดเสียง ANC ไหม,มี ANC แบบ Adaptive ปรับระดับตัดเสียงอัตโนมัติตามสภาพแวดล้อม ผ่านไมโครโฟน 4 ตัว,ไม่มี ANC มีเฉพาะ Passive Noise Isolation เท่านั้น,มี ANC + Transparency Mode,มี ANC แต่ต้องเปิดในแอปคลื่นเสียงก่อน ไม่สามารถเปิด ANC จากปุ่มบนตัวหูฟังได้,มี ANC เฉพาะเมื่อเชื่อมต่อด้วยสาย 3.5 มม.,มี ANC ระดับพื้นฐาน ตัดเสียงได้ 20 dB ใช้ไมโครโฟน 2 ตัว เหมาะกับสภาพแวดล้อมเงียบ,มี ANC แบบ Hybrid 6 ไมโครโฟน,มี ANC แต่เฉพาะรุ่น FahMai Edition เท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
43,หูฟัง StudioPro M1 เชื่อมต่อ Bluetooth ได้ไหมคะ,รองรับ Bluetooth 5.3 เชื่อมต่อได้ทั้งโทรศัพท์ แท็บเล็ต และคอมพิวเตอร์,รองรับ Bluetooth 5.0 พร้อม Codec SBC และ AAC สำหรับเสียงไร้สายคุณภาพดี,รองรับ Bluetooth 5.1 พร้อม LDAC สำหรับเสียง Hi-Res ไร้สายคุณภาพสตูดิโอ,ไม่มี Bluetooth เป็นหูฟังมีสายเท่านั้น เชื่อมต่อด้วยสาย 3.5 มม. + อะแดปเตอร์ 6.35 มม.,รองรับ Bluetooth แต่ต้องซื้ออะแดปเตอร์ Bluetooth แยก ราคา 990 บาท เสียบผ่าน 3.5 มม.,รองรับ Bluetooth 5.2 โหมด Low Latency เหมาะสำหรับงานตัดต่อเสียงและเล่นเกม,รองรับ Bluetooth 4.2 เท่านั้น ไม่รองรับ Codec LDAC หรือ aptX เชื่อมต่อได้ 1 อุปกรณ์,รองรับ Bluetooth เฉพาะเมื่อชาร์จเต็ม ถ้าแบตต่ำจะตัดการเชื่อมต่อ Bluetooth อัตโนมัติ,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
44,วงโคจร Band 8 มี GPS ในตัวไหมคะ,ไม่มี GPS ในตัว ต้องใช้ Connected GPS ผ่านโทรศัพท์ หากต้องการ GPS ในตัวแนะนำ Band 8 Pro,มี GPS ในตัวแบบ Multi-band ไม่ต้องพกโทรศัพท์ตอนวิ่งออกกำลังกายกลางแจ้ง,มี GPS ในตัวแบบ Dual-frequency ความแม่นยำสูงรองรับ GLONASS และ BeiDou,มี GPS ในตัว แต่ความแม่นยำต่ำ ต้องพกโทรศัพท์ช่วยเพื่อปรับตำแหน่งให้แม่นยำขึ้น,มี GPS ในตัว + GLONASS รองรับ 100 โหมดกีฬา บันทึกเส้นทางได้แม่นยำ,มี GPS แต่ต้องเปิดใช้งานผ่านแอป WongKhoJon Health บนโทรศัพท์ก่อนทุกครั้ง,มี GPS ในตัว เฉพาะโหมดกีฬากลางแจ้ง โหมดอื่นต้องใช้ Connected GPS ผ่านโทรศัพท์,มี A-GPS เท่านั้น ต้องเชื่อมต่อกับโทรศัพท์เพื่อดาวน์โหลดข้อมูลดาวเทียมก่อนใช้งาน,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
45,หูฟัง Z5 มีรุ่นไหนบ้างคะ?,"มีรุ่นเดียวคือ บัดส์ Z5 ราคา ฿5,490 ไดรเวอร์ 12 มม. รองรับ ANC และ LDAC","มี 2 รุ่น: บัดส์ Z5 (฿5,490) ไดรเวอร์ 12 มม. ANC และ บัดส์ Z5 Pro (฿7,990) ไดรเวอร์ 11 มม. ANC + LDAC","มี 3 รุ่น: บัดส์ Z5 (฿5,490), บัดส์ Z5 Pro (฿7,990), และ บัดส์ Z5 Pro สีทอง Limited (฿8,490 — สินค้าหมด)","มีรุ่นเดียวคือ บัดส์ Z5 Pro ราคา ฿7,990 ไดรเวอร์ 11 มม. รองรับ ANC และ Hi-Res Audio","มี 2 รุ่น: บัดส์ Z5 (฿5,490) ไดรเวอร์ 12 มม. ANC และ บัดส์ Z5 Pro สีทอง Limited (฿8,490) สินค้าหมด","มี 4 รุ่น: Z5 (฿5,490), Z5 Pro (฿7,990), Z5 Lite (฿3,490), Z5 Pro สีทอง (฿8,490) — ครบทุกราคา","มีรุ่นเดียวคือ บัดส์ Z5 Pro สีทอง Limited ราคา ฿8,490 เป็นรุ่นพิเศษที่มีสีทองเท่านั้น","มี 2 รุ่น: บัดส์ Z5 Pro (฿7,990) ไดรเวอร์ 11 มม. ANC + LDAC และ Z5 Pro สีทอง Limited (฿8,490)",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
46,จอ 27 นิ้ว 4K มีรุ่นอะไรบ้างครับ?,"มี 2 รุ่น: อาร์คเวฟ ProView 27 4K (฿12,990) เป็นจอมอนิเตอร์เท่านั้น และ ดาวเหนือ All-in-One 27 (฿34,990) เป็นคอมพิวเตอร์ครบชุดที่มีจอ 27 นิ้ว 4K ในตัว","มีรุ่นเดียวคือ อาร์คเวฟ ProView 27 4K ราคา ฿12,990 จอ IPS 60Hz HDR400 กำลังขับ USB-C PD 65W เป็นจอมอนิเตอร์อย่างเดียว ไม่มีคอมในตัว","มีรุ่นเดียวคือ ดาวเหนือ All-in-One 27 ราคา ฿34,990 คอมพิวเตอร์ในตัว ชิปเซ็ต DaoNuea D5, RAM 16GB, SSD 512GB, จอ IPS 4K 60Hz","มี 3 รุ่น: ProView 27 4K จอมอนิเตอร์ (฿12,990), All-in-One 27 คอมในตัว (฿34,990), และ All-in-One 24 จอ 24 นิ้ว FHD (฿27,990) ที่เป็น 4K เช่นกัน","ไม่มีจอ 27 นิ้ว 4K ที่ร้านฟ้าใหม่ มีแต่จอ 27 นิ้ว FHD คือ ProView 27 FHD ราคา ฿8,990 ของ ArcWave เป็นจอมอนิเตอร์ IPS 60Hz","มี 2 รุ่น: ProView 27 4K (฿12,990) จอ IPS 60Hz HDR400 และ ProView 27 FHD (฿8,990) จอ IPS 75Hz — ทั้งคู่เป็นแบรนด์ ArcWave จอมอนิเตอร์","มีรุ่นเดียวคือ ProView 27 4K แต่ราคา ฿34,990 เพราะเป็นรุ่นที่มีคอมพิวเตอร์ในตัวเหมือน All-in-One ใช้งานได้เลย จอ IPS 60Hz 4K","มี 2 รุ่น: ดาวเหนือ All-in-One 27 (฿34,990) จอ 4K คอมในตัว ชิป D5 และ All-in-One 24 (฿27,990) จอ FHD 24 นิ้ว ชิป D3",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
47,จอ 27 นิ้ว 4K ของดาวเหนือ ราคาเท่าไหร่คะ,"฿12,990 — ProView 27 4K ของ ArcWave เป็นจอมอนิเตอร์เท่านั้น ไม่ใช่แบรนด์ดาวเหนือ จอ IPS 60Hz HDR400 รองรับ USB-C PD 65W (AW-MN-001)","฿34,990 — ดาวเหนือ All-in-One 27 เป็นคอมพิวเตอร์ครบชุดจอ 27 นิ้ว 4K ในตัว","฿27,990 — ดาวเหนือ All-in-One 24 ที่มีจอ 24 นิ้ว FHD เป็นคนละรุ่นกับที่ถาม จอ 24 นิ้ว ไม่ใช่ 27 นิ้ว ชิป D3, RAM 8GB, SSD 256GB (DN-DT-005) ไม่ใช่ 4K","฿29,990 — ดาวเหนือ All-in-One 27 ราคาลดพิเศษเมื่อซื้อพร้อมคีย์บอร์ดและเมาส์ไร้สาย จอ 4K IPS 60Hz ชิป D5 RAM 16GB SSD 512GB (ไม่มีโปรนี้จริง)","มี 2 รุ่นของดาวเหนือ: All-in-One 27 (฿34,990) ชิป D5 จอ 4K และ ProView 27 (฿12,990) จอ 4K — ทั้งคู่เป็นแบรนด์ดาวเหนือ","฿39,990 — ดาวเหนือ All-in-One 27 รุ่น Pro ที่มี RAM 32GB และ SSD 1TB ชิปเซ็ต D5 Pro จอ 4K IPS สำหรับงานออกแบบ (ไม่มีจริง)","฿24,990 — ดาวเหนือ All-in-One 27 ลดราคาล้างสต็อกจาก ฿34,990 เหลือ ฿24,990 เพราะเตรียมเปิดตัวรุ่นใหม่ All-in-One 27 (2025) ชิป D5 Pro (DN-DT-004, ราคาจริง ฿34,990)","฿19,990 — ดาวเหนือ ProView 27 4K ที่ราคาแพงกว่ารุ่น ArcWave เพราะเป็นแบรนด์ในเครือ จอ IPS 4K 60Hz HDR600 รองรับ USB-C PD 65W (ไม่มีจริง)",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
48,คลื่นเสียง 300 ราคาเท่าไหร่,"฿2,490 — เฮดออน 300 หูฟังครอบหูไร้สาย ไดรเวอร์ 40 มม. ไม่มี ANC แบต 50 ชม. BT 5.1 (ไม่รวม SoundBar 300 ที่ชื่อตรงกับคำค้นด้วย)","฿7,990 — SoundBar 300 ลำโพงซาวด์บาร์ 3.1ch กำลังขับ 80W RMS พร้อม HDMI ARC และ Optical (ไม่รวมเฮดออน 300 ที่ชื่อตรงกันด้วย)","฿7,490 — SoundPillar 300 ของ ArcWave ซึ่งเป็นคนละแบรนด์กับคลื่นเสียง (3.0ch, 60W RMS, ไม่มี center channel, HDMI ARC)","฿4,990 — เฮดออน 500 รุ่นกลางของคลื่นเสียง ไม่ใช่รุ่น 300 (มี ANC, Bluetooth 5.2, ไดรเวอร์ 40 มม. แบต 35 ชม.)","฿2,990 — เฮดออน 300 รุ่นพิเศษที่มี ANC เพิ่มมาจากรุ่นมาตรฐาน ไดรเวอร์ 40 มม. BT 5.1 แบต 40 ชม. (ไม่มีจริง)","฿8,990 — SoundBar Pro 500 ของคลื่นเสียง รุ่นท็อป 5.1ch กำลังขับ 200W พร้อม wireless subwoofer แยก (ไม่ใช่รุ่น 300)","฿15,990 — SoundBar 300 รุ่น Premium มาพร้อม wireless subwoofer แยก และรองรับ Dolby Atmos กำลังขับ 120W (ไม่มีจริง)","มีสินค้าที่ตรงกัน 2 รายการ: เฮดออน 300 (หูฟังครอบหู) ราคา ฿2,490 และ SoundBar 300 (ลำโพง) ราคา ฿7,990 — กรุณาระบุว่าต้องการสินค้าชิ้นไหน",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
49,เฮดออน 300 มีสีอะไรบ้าง?,"Black, White, Navy Blue — เฮดออน 300 มาตรฐาน (KS-HP-005) เท่านั้น สเปค: ไดรเวอร์ 40 มม. BT 5.1 แบต 50 ชม. ไม่มี ANC (฿2,490)","FahMai Blue เท่านั้น — เป็นสีพิเศษสีเดียวของเฮดออน 300 ทุกรุ่น ผลิตจำนวนจำกัด ไม่มีสีอื่นให้เลือก (฿2,490)","Black, White, Navy Blue, FahMai Blue — ทุกสีอยู่ใน SKU เดียวกันของเฮดออน 300 เลือกสีได้ตอนสั่งซื้อ สเปคเหมือนกันทุกสี (฿2,490)","Black, White — มีสองสีมาตรฐานเท่านั้น ส่วน Navy Blue และ FahMai Blue เลิกผลิตแล้วเพราะขายไม่ดี (฿2,490)","Matte Black เท่านั้น — เฮดออน 300 มาเฉพาะสี Matte Black เหมือนซาวด์บาร์และลำโพงอื่น ๆ ของคลื่นเสียง (฿2,490)","มี 2 รุ่น: เฮดออน 300 มาตรฐาน (สี Black, White, Navy Blue) และ เฮดออน 300 ฟ้าใหม่ เอดิชัน (สี FahMai Blue พิเศษ) ราคาเท่ากันที่ ฿2,490","Black, White, Navy Blue, Red — มี 4 สีในรุ่นมาตรฐาน สี Red เพิ่มมาใหม่ในปี 2569 สเปคเหมือนกัน ไดรเวอร์ 40 มม. แบต 50 ชม. (฿2,490)","มีสีเดียวคือ Navy Blue — เป็นสีเอกลักษณ์ประจำรุ่นเฮดออน 300 ไม่มีสี Black หรือ White ให้เลือก (฿2,490)",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
50,แอร์บุ๊ก 14 RAM เท่าไหร่ครับ?,"8GB LPDDR5 — แอร์บุ๊ก 14 มีรุ่นเดียว RAM 8GB LPDDR5 บัดกรีในตัว เพิ่มไม่ได้ ชิปเซ็ต DaoNuea D1 จอ 2K 14 นิ้ว แบต 20 ชม. (ราคา ฿24,990)","16GB LPDDR5 — แอร์บุ๊ก 14 มีรุ่นเดียว RAM 16GB LPDDR5 บัดกรีในตัว เพิ่มไม่ได้ ชิปเซ็ต DaoNuea D1 จอ 2K 14 นิ้ว แบต 20 ชม. (ราคา ฿29,990)","12GB LPDDR5 — แอร์บุ๊ก 14 มีรุ่นเดียว RAM 12GB unified memory ร่วมกับชิปเซ็ต D1 จอ 2K 14 นิ้ว หนัก 1.1 กก. แบต 20 ชม. (ราคา ฿27,490)","32GB LPDDR5 — แอร์บุ๊ก 14 รุ่นท็อปมี RAM 32GB LPDDR5 บัดกรีในตัว สำหรับงาน multitask หนัก ชิป D1 จอ 2K 14 นิ้ว แบต 20 ชม. (ราคา ฿39,990)","มี 2 รุ่น: แอร์บุ๊ก 14 (฿29,990) มี RAM 16GB LPDDR5 และ แอร์บุ๊ก 14 รุ่น 8GB (฿24,990) มี RAM 8GB LPDDR5 — ทั้งสองรุ่น RAM บัดกรีในตัว ไม่สามารถเพิ่มได้","16GB DDR4 — แอร์บุ๊ก 14 ใช้ RAM DDR4 แบบ SO-DIMM สามารถถอดเปลี่ยนเพิ่มเองภายหลังได้ถึง 32GB ชิป D1 จอ 2K 14 นิ้ว (ราคา ฿29,990)","8GB DDR4 — แอร์บุ๊ก 14 รุ่นประหยัด ใช้ RAM DDR4 แบบ SO-DIMM ถอดเปลี่ยนเพิ่มได้ภายหลัง ชิป D1 จอ 2K 14 นิ้ว แบต 20 ชม. (ราคา ฿22,990)","4GB LPDDR5 — แอร์บุ๊ก 14 รุ่นเริ่มต้นมี RAM 4GB LPDDR5 บัดกรีในตัว เพิ่มไม่ได้ เหมาะกับงานเบา ๆ ชิป D1 จอ 2K (ราคา ฿19,990)",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
51,แท่นชาร์จไร้สาย 15W ที่ร้านฟ้าใหม่มีตัวไหนบ้าง,มีแค่ QiPad 15 ของจุดเชื่อม ราคา ฿990 รองรับ Qi 15W มาพร้อมไฟ LED แสดงสถานะ น้ำหนัก 68 กรัม,มีแค่ ChargePad 15W ของพัลส์เกียร์ ราคา ฿890 รองรับ Qi 15W พื้นผิวซิลิโคนกันลื่น ประกัน 1 ปี,"มี 3 รุ่นจากหลายแบรนด์: QiPad 15 (฿990), ChargePad 15W (฿890) และ QiPad Pro 15W (฿1,490)",มีแค่ QiPad 15 ราคา ฿890 ของจุดเชื่อม เป็นแท่นชาร์จ Qi 15W สีขาว น้ำหนัก 68 กรัม ประกัน 6 เดือน,ไม่มีแท่นชาร์จไร้สาย 15W ที่ร้านฟ้าใหม่ มีแต่รุ่น 10W คือ QiPad 10 ของจุดเชื่อม ราคา ฿690 รองรับ Qi มาตรฐาน,มีแค่ ChargePad 15W ราคา ฿990 ของพัลส์เกียร์ พื้นผิวซิลิโคนกันลื่น รองรับ iPhone และ Android,มี 2 รุ่น: จุดเชื่อม QiPad 15 (฿990) และ พัลส์เกียร์ ChargePad 15W (฿890) — ทั้งคู่เป็นแท่นชาร์จ Qi 15W แต่คนละแบรนด์,มี 2 รุ่น แต่ ChargePad 15W ของพัลส์เกียร์สินค้าหมด เหลือเฉพาะ QiPad 15 ของจุดเชื่อม (฿990) พร้อมส่งทันที ประกัน 6 เดือน,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
52,สายฟ้า แท็บ A5 ราคาเท่าไหร่คะ?,"฿13,990 — แท็บ A5 รุ่น LTE+WiFi มีรุ่นเดียว (สเปค: จอ 10.9 นิ้ว IPS LCD, ชิป T5, RAM 4GB, แบต 7,040 mAh, น้ำหนัก 478 กรัม, กันน้ำไม่มี IP)","฿11,990 — แท็บ A5 WiFi Only มีรุ่นเดียว (สเปค: จอ 10.9 นิ้ว IPS LCD, ชิป T5, RAM 4GB, แบต 7,040 mAh, น้ำหนัก 462 กรัม, ไม่มีซิม)","฿12,990 — แท็บ A5 มีรุ่นเดียว ราคาเฉลี่ยระหว่างรุ่น LTE กับ WiFi (ชิป T5, RAM 4GB, จอ 10.9 นิ้ว, ชาร์จ 18W, FahMai OS 3)","มี 2 รุ่นที่ตรงกัน: แท็บ A5 (รุ่น LTE+WiFi) ราคา ฿13,990 และ แท็บ A5 WiFi ราคา ฿11,990 — สเปคเหมือนกัน ต่างที่รุ่น WiFi ไม่มีซิมการ์ด","฿14,990 — แท็บ A5 รุ่น 5G ปรับราคาขึ้นจากเดิม เนื่องจากชิปเซ็ตรุ่นใหม่ T5 Pro (RAM 6GB, จอ 10.9 นิ้ว, แบต 7,040 mAh)","฿10,990 — แท็บ A5 WiFi โปรลดราคาพิเศษ ลดจากปกติ ฿11,990 เหลือ ฿10,990 ถึงสิ้นเดือน (ชิป T5, RAM 4GB, จอ 10.9 นิ้ว IPS LCD)","฿15,990 — แท็บ A5 รุ่น 5G Premium มี RAM 6GB, SSD 128GB, ชิป T5 Pro ราคาแพงกว่ารุ่นธรรมดา (จอ 10.9 นิ้ว, แบต 7,040 mAh)","฿9,990 — แท็บ A5 WiFi ลดราคาล้างสต็อกเพราะเตรียมเปิดตัวรุ่น A6 WiFi เร็ว ๆ นี้ (ชิป T5, RAM 4GB, จอ 10.9 นิ้ว IPS LCD)",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
53,เปลี่ยนจอ สายฟ้า โฟน X9 Pro ค่าซ่อมเท่าไหร่ครับ?,"3,500 บาท","4,990 บาท","5,500 บาท","6,200 บาท","2,990 บาท","7,500 บาท","4,200 บาท","8,000 บาท",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
54,สายฟ้า โฟน X9 Pro Max ผลิตที่ประเทศอะไรครับ?,ไทย,จีน,เวียดนาม,อินเดีย,ไต้หวัน,เกาหลีใต้,มาเลเซีย,อินโดนีเซีย,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
55,ฟ้าใหม่มีรายได้ต่อปีเท่าไหร่ครับ?,500 ล้านบาท,1.2 พันล้านบาท,800 ล้านบาท,2.5 พันล้านบาท,350 ล้านบาท,1.8 พันล้านบาท,3 พันล้านบาท,950 ล้านบาท,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
56,ดาวเหนือ AirBook 13 น้ำหนักเท่าไหร่คะ?,0.95 กิโลกรัม,1.0 กิโลกรัม,1.1 กิโลกรัม,1.2 กิโลกรัม,1.05 กิโลกรัม,0.9 กิโลกรัม,1.15 กิโลกรัม,1.3 กิโลกรัม,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
57,สายฟ้า โฟน X9 Pro สัดส่วนหน้าจอต่อตัวเครื่อง (screen-to-body ratio) เท่าไหร่คะ?,89.5%,91.2%,93.8%,87.3%,95.1%,90.6%,88.0%,92.4%,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
58,คลื่นเสียง บัดส์ Z5 Pro คะแนนรีวิวจากผู้ใช้เฉลี่ยเท่าไหร่ครับ?,4.2 / 5 ดาว,4.5 / 5 ดาว,4.7 / 5 ดาว,3.9 / 5 ดาว,4.8 / 5 ดาว,4.0 / 5 ดาว,4.3 / 5 ดาว,4.6 / 5 ดาว,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
59,สายฟ้า โฟน X9 Pro Max ค่า SAR เท่าไหร่ครับ?,0.85 W/kg,1.12 W/kg,0.67 W/kg,1.45 W/kg,0.98 W/kg,0.52 W/kg,1.28 W/kg,0.74 W/kg,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
60,วันหยุดราชการปี 2569 มีกี่วันครับ?,16 วัน,17 วัน,18 วัน,19 วัน,20 วัน,15 วัน,21 วัน,22 วัน,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
61,ตั๋วเครื่องบินกรุงเทพ-เชียงใหม่ราคาเท่าไหร่คะ?,890 บาท,"1,200 บาท","1,590 บาท","2,100 บาท","2,500 บาท","3,200 บาท",990 บาท,"1,890 บาท",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
62,ตอนนี้ดอกเบี้ยเงินฝากออมทรัพย์กี่เปอร์เซ็นต์คะ?,0.25% ต่อปี,0.50% ต่อปี,1.00% ต่อปี,1.50% ต่อปี,0.75% ต่อปี,2.00% ต่อปี,0.10% ต่อปี,1.25% ต่อปี,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
63,สูตรผัดกระเพราหมูสับทำยังไงคะ?,ผัดกระเทียมก่อนแล้วใส่หมู,ใส่น้ำมันหอย ซอสปรุงรส น้ำตาล,ใช้ไฟแรงผัดให้หมูสุกก่อนใส่ใบกระเพรา,หมักหมูกับซีอิ๊วก่อนผัด,ใส่พริกขี้หนูสวนบุบพอแตก,ผัดไข่ดาวแยกต่างหากเสิร์ฟข้าง,ใช้ใบกระเพราแดงจะหอมกว่า,เติมน้ำเล็กน้อยกันไหม้,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
64,เคสชาร์จของ NovaBuds Pro ชาร์จไร้สายได้ป่าวครับ? แล้วเทียบกับ บัดส์ Z5 Pro ล่ะ,ทั้ง NovaBuds Pro และ Z5 Pro รองรับชาร์จไร้สาย Qi เหมือนกัน เพราะเป็นหูฟังระดับ Pro ทั้งคู่,NovaBuds Pro รองรับชาร์จไร้สาย Qi แต่ Z5 Pro ไม่รองรับ ชาร์จผ่าน USB-C อย่างเดียว,ทั้งคู่ไม่รองรับชาร์จไร้สาย ชาร์จผ่าน USB-C อย่างเดียว เป็นข้อจำกัดของหูฟัง TWS ราคากลาง,NovaBuds Pro ชาร์จไร้สายได้ เฉพาะเมื่อใช้แท่นชาร์จ NovaTech เท่านั้น,NovaBuds Pro ไม่รองรับชาร์จไร้สาย (USB-C เท่านั้น) ส่วน Z5 Pro รองรับชาร์จไร้สาย Qi,Z5 Pro รองรับชาร์จไร้สายเฉพาะแท่น QiPad 15 ส่วน NovaBuds Pro ใช้ได้ทุกแท่น,NovaBuds Pro รองรับ Qi2 (MagSafe) ส่วน Z5 Pro รองรับ Qi รุ่นเก่า วางชาร์จได้แต่ไม่มีแม่เหล็ก,ทั้งคู่ต้องซื้อเคสชาร์จไร้สายแยก ราคา ฿590-790 เพราะเคสมาตรฐานรองรับ USB-C อย่างเดียว,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
65,สายฟ้า X9 กับ X9 FE ชิปเหมือนกันจริงมั้ย แล้วตัว FE ถูกกว่าตรงไหน,"ชิปต่างกัน X9 ใช้ S9 Pro (8-core) ส่วน X9 FE ใช้ S9 Lite (6-core) ที่เป็นชิปลดสเปคลง ประหยัดพลังงานกว่า ราคาถูกกว่า ฿3,000","ชิปต่างกัน FE ใช้ชิปรุ่นเก่ากว่า S8 ที่ลดมาจากเรือธงรุ่นก่อน ทำให้ประหยัดต้นทุนการผลิตได้มากขึ้น ราคาถูกกว่า ฿3,000","ชิปเหมือนกันคือ S9 ทั้งคู่ FE ถูกกว่าเพราะตัดเรื่อง OIS กล้อง ไม่มี Ultrawide และใช้เฟรมพลาสติก Polycarbonate แทนอะลูมิเนียม ราคาต่างกัน 3,000 บาท","ชิปเหมือนกันคือ S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะแบตเล็กกว่า 4,200 mAh แทน 4,800 mAh ใช้งานได้สั้นกว่า ราคาต่างกัน ฿3,000","ชิปเหมือนกัน S9 ทั้งคู่ ต่างกันแค่สีตัวเครื่อง FE มีสีเพิ่ม 2 สีพิเศษ ราคาต่างกัน 1,000 บาท (฿16,990 vs ฿15,990) สเปคเท่ากัน","ชิปเหมือนกัน S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะลดขนาดหน้าจอจาก 6.5 นิ้ว เหลือ 6.1 นิ้ว ตัวเครื่องเล็กลง แบตเท่ากัน 4,800 mAh","ชิปเหมือนกัน S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะไม่กันน้ำ ตัดมาตรฐาน IP ออกเพื่อลดต้นทุนการผลิตลง ราคาต่าง ฿3,000","ชิปเหมือนกัน S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะใช้หน้าจอ IPS LCD แทน AMOLED สีสันและความคมชัดต่างกันพอสมควร ราคาต่าง ฿3,000",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
